Routing Table for All Nodes
Shotest Path Routing for Node 0:
Destination Node                         Path       Path Cost
Second Shotest Path Routing for Node 8:
Destination Node                         Path       Path Cost
               0                        8 9 0               2
               1                        8 2 1               2
               2                      8 0 1 2               3
               3                  8 7 6 5 4 3               5
               4                    8 7 6 5 4               4
               5                    8 2 3 4 5               4
               6                  8 2 3 4 5 6               5
               7                       8 14 7               2
               9                        8 0 9               2
              10                      8 11 10               2
              11                      8 12 11               2
              12                       8 9 12               2
              13                      8 12 13               2
              14                       8 7 14               2
              15                   8 11 17 15               3
              16                 8 9 10 15 16               4
              17                      8 12 17               2
              18                   8 11 17 18               3
              19                    8 7 13 19               3
              20                 8 7 13 19 20               4
              21                8 11 17 22 21               4
              22                   8 14 18 22               3
              23                   8 14 18 23               3

Second Shotest Path Routing for Node 9:
Destination Node                         Path       Path Cost
               0                        9 8 0               2
               1                      9 8 2 1               3
               2                      9 0 1 2               3
               3              9 0 8 7 6 5 4 3               7
               4                9 0 8 7 6 5 4               6
               5                9 0 1 2 3 4 5               6
               6              9 0 1 2 3 4 5 6               7
               7                    9 12 13 7               3
               8                        9 0 8               2
              10                    9 8 11 10               3
              11                      9 10 11               2
              12                       9 8 12               2
              13                     9 8 7 13               3
              14                      9 12 14               2
              15                   9 12 17 15               3
              16                   9 12 17 16               3
              17                    9 8 11 17               3
              18                   9 10 15 18               3
              19                    9 8 14 19               3
              20                9 12 13 19 20               4
              21                9 12 17 22 21               4
              22                 9 8 14 18 22               4
              23                9 10 15 16 23               4

Second Shotest Path Routing for Node 10:
Destination Node                         Path       Path Cost
               0                    10 11 8 0               3
               1                  10 11 8 2 1               4
               2                10 11 8 0 1 2               5
               3            10 11 8 7 6 5 4 3               7
               4              10 11 8 7 6 5 4               6
               5              10 11 8 2 3 4 5               6
               6            10 11 8 2 3 4 5 6               7
               7                10 11 12 13 7               4
               8                      10 11 8               2
               9                    10 11 8 9               3
              11                    10 9 8 11               3
              12                     10 11 12               2
              13                 10 11 8 7 13               4
              14                  10 11 12 14               3
              15                  10 11 17 15               3
              16                  10 11 17 16               3
              17                     10 15 17               2
              18                  10 11 17 18               3
              19                10 9 12 13 19               4
              20             10 9 12 13 19 20               5
              21               10 11 17 22 21               4
              22                  10 15 18 22               3
              23                  10 11 17 23               3

Second Shotest Path Routing for Node 11:
Destination Node                         Path       Path Cost
               0                    11 10 9 0               3
               1                  11 12 8 2 1               4
               2                11 12 8 0 1 2               5
               3            11 12 8 7 6 5 4 3               7
               4              11 12 8 7 6 5 4               6
               5              11 12 8 2 3 4 5               6
               6            11 12 8 2 3 4 5 6               7
               7                   11 12 13 7               3
               8                      11 12 8               2
               9                      11 10 9               2
              10                    11 8 9 10               3
              12                      11 8 12               2
              13                    11 8 7 13               3
              14                     11 12 14               2
              15                     11 17 15               2
              16                  11 10 15 16               3
              17                     11 12 17               2
              18                   11 8 14 18               3
              19                   11 8 14 19               3
              20               11 12 13 19 20               4
              21               11 12 17 22 21               4
              22                11 8 14 18 22               4
              23               11 10 15 16 23               4

Second Shotest Path Routing for Node 12:
Destination Node                         Path       Path Cost
               0                       12 9 0               2
               1                   12 9 8 2 1               4
               2                   12 9 0 1 2               4
               3              12 13 7 6 5 4 3               6
               4                12 13 7 6 5 4               5
               5               12 9 8 2 3 4 5               6
               6             12 9 8 2 3 4 5 6               7
               7                      12 13 7               2
               8                       12 9 8               2
               9                       12 8 9               2
              10                     12 11 10               2
              11                      12 8 11               2
              13                     12 14 13               2
              14                      12 8 14               2
              15                   12 9 10 15               3
              16                12 9 10 15 16               4
              17                     12 11 17               2
              18                     12 17 18               2
              19                     12 14 19               2
              20                  12 13 19 20               3
              21                  12 17 22 21               3
              22                  12 14 18 22               3
              23                  12 14 18 23               3

Second Shotest Path Routing for Node 13:
Destination Node                         Path       Path Cost
               0                    13 12 9 0               3
               1                  13 12 8 2 1               4
               2                13 12 8 0 1 2               5
               3              13 14 7 6 5 4 3               6
               4                13 12 8 2 3 4               5
               5              13 12 8 2 3 4 5               6
               6            13 12 8 2 3 4 5 6               7
               7                      13 14 7               2
               8                      13 12 8               2
               9                     13 7 8 9               3
              10                 13 7 8 11 10               4
              11                    13 7 8 11               3
              12                     13 14 12               2
              14                      13 7 14               2
